Datum,A:Bildung,A:Renten,A:Ausländer & Geflüchtete,A:Umwelt & Klima,A:Soziales Gefälle,A:Corona,A:Hochwasser & Katastrophenschutz,A:Politikverdruss,A:Gesundheitswesen & Pflege,A:Arbeitslosigkeit,A:Wirtschaftslage,A:Rechte & AfD,A:Mieten/Wohnungsmarkt,gesellschaftlicher Zusammenhalt,Bundestagswahl,Infrastruktur/schnelles Internet,Institut,Frage,Link,Erhebungszeitraum,Befragte
17.11.00,2,19,15,5,2,,,7,3,44,3,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
15.12.00,3,14,13,4,2,,,6,3,46,3,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
19.01.01,2,12,7,4,2,,,8,4,37,2,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
16.02.01,2,13,5,5,2,,,11,3,40,2,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
16.03.01,3,8,8,5,2,,,7,3,46,3,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
06.04.01,4,12,9,11,2,,,7,3,44,4,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
18.05.01,3,17,9,7,2,,,7,4,55,4,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
22.06.01,3,9,8,6,2,,,9,3,55,7,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
20.07.01,3,12,9,7,2,,,8,8,61,10,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
24.08.01,3,7,9,6,3,,,7,6,73,9,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
14.09.01,2,3,7,3,2,,,7,5,53,10,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
12.10.01,2,4,6,2,1,,,5,2,50,9,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
16.11.01,2,4,5,3,2,,,11,3,47,11,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
14.12.01,7,5,8,1,2,,,8,5,62,13,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
11.01.02,6,4,4,2,4,,,7,5,71,12,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
18.01.02,6,5,8,3,2,,,7,5,78,14,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
08.02.02,5,4,8,2,2,,,9,5,75,12,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
22.02.02,4,3,9,4,2,,,8,3,75,13,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
08.03.02,5,7,13,3,3,,,8,4,77,12,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
22.03.02,4,4,15,4,2,,,16,5,69,10,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
12.04.02,3,5,14,2,2,,,10,4,71,11,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
26.04.02,4,5,13,2,2,,,9,5,71,14,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
10.05.02,6,4,9,2,3,,,6,2,70,11,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
31.05.02,6,3,8,2,2,,,10,3,60,14,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
14.06.02,7,4,11,4,2,,,11,6,63,11,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
28.06.02,14,5,14,3,2,,,9,4,69,11,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
12.07.02,8,6,13,3,2,,,7,5,77,13,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
26.07.02,5,4,10,3,2,,,11,4,75,17,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
09.08.02,5,4,7,2,2,,,11,4,79,16,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
16.08.02,6,5,4,8,2,,,8,5,81,13,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
23.08.02,4,2,5,7,2,,,7,2,72,12,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
30.08.02,4,3,6,8,1,,,5,2,78,12,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
06.09.02,6,4,6,11,2,,,5,5,79,13,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
13.09.02,8,4,5,6,2,,,5,4,85,14,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
18.10.02,5,5,5,3,3,,,7,7,77,21,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
15.11.02,4,14,4,3,1,,,10,8,74,17,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
13.12.02,3,9,2,2,2,,,16,7,71,19,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
24.01.03,4,4,3,1,2,,,9,7,67,20,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
07.02.03,3,5,2,2,2,,,12,7,76,22,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
21.02.03,2,2,1,0,1,,,10,5,67,21,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
14.03.03,3,3,2,1,1,,,7,7,76,20,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
28.03.03,3,5,2,1,1,,,10,6,68,19,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
11.04.03,3,6,2,1,2,,,7,7,73,20,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
02.05.03,4,13,3,1,1,,,12,8,75,18,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
16.05.03,3,8,3,1,2,,,8,10,76,18,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
06.06.03,3,14,2,2,2,,,7,9,72,17,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
27.06.03,3,9,3,2,2,,,9,15,74,19,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
18.07.03,4,9,3,1,2,,,9,10,73,18,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
22.08.03,3,20,3,2,3,,,9,15,71,15,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
12.09.03,6,14,2,1,1,,,9,14,73,16,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
10.10.03,4,14,2,1,3,,,11,13,71,14,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
24.10.03,3,32,2,1,2,,,10,10,63,15,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
14.11.03,4,25,3,1,2,,,11,11,66,14,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
28.11.03,4,16,2,1,2,,,13,10,66,18,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
12.12.03,5,15,2,1,2,,,11,15,66,16,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
16.01.04,5,11,2,1,3,,,11,31,59,14,,,,,,Forschungsgruppe Wahlen: Politbarometer,Was ist Ihrer Meinung nach gegenwärtig das wichtigste Problem in Deutschland? (max. zwei Nennungen),https://www.forschungsgruppe.de/Umfragen/Politbarometer/Langzeitentwicklung_-_Themen_im_Ueberblick/Politik_II/#Probl1,Dienstag bis Donnerstag vor Veröffentlichung am Freitag,ca. 1250
