term,Total,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD
gesichtspunkt,1,0.0,1.0,0.0,0.0,0.0,0.0
abwehrgefechten,1,0.0,1.0,0.0,0.0,0.0,0.0
_und_klima_gaga,1,1.0,0.0,0.0,0.0,0.0,0.0
behörde,1,0.0,0.0,0.0,1.0,0.0,0.0
funk,1,1.0,0.0,0.0,0.0,0.0,0.0
hat,1,1.0,0.0,0.0,0.0,0.0,0.0
deutsch,1,1.0,0.0,0.0,0.0,0.0,0.0
ein,1,1.0,0.0,0.0,0.0,0.0,0.0
dreck,1,1.0,0.0,0.0,0.0,0.0,0.0
divide,1,0.0,0.0,1.0,0.0,0.0,0.0
diversenquote,1,1.0,0.0,0.0,0.0,0.0,0.0
equaliy,1,0.0,0.0,0.0,1.0,0.0,0.0
diverse,1,0.0,0.0,1.0,0.0,0.0,0.0
distribution,1,0.0,0.0,0.0,0.0,1.0,0.0
dingsbums,1,1.0,0.0,0.0,0.0,0.0,0.0
dimension,1,0.0,0.0,0.0,1.0,0.0,0.0
expression,1,0.0,0.0,0.0,0.0,0.0,1.0
fairness,1,0.0,0.0,1.0,0.0,0.0,0.0
fanatiker,1,1.0,0.0,0.0,0.0,0.0,0.0
freunde,1,1.0,0.0,0.0,0.0,0.0,0.0
fans,1,1.0,0.0,0.0,0.0,0.0,0.0
correctness,1,0.0,0.0,0.0,0.0,0.0,1.0
caregap,1,0.0,1.0,0.0,0.0,0.0,0.0
brille,1,0.0,0.0,1.0,0.0,0.0,0.0
fluiden,1,0.0,0.0,1.0,0.0,0.0,0.0
blödsinn,1,0.0,1.0,0.0,0.0,0.0,0.0
bias,1,0.0,0.0,0.0,1.0,0.0,0.0
forscherin,1,1.0,0.0,0.0,0.0,0.0,0.0
bezogene,1,0.0,0.0,0.0,1.0,0.0,0.0
bender,1,1.0,0.0,0.0,0.0,0.0,0.0
belegen,1,1.0,0.0,0.0,0.0,0.0,0.0
dynamiken,1,1.0,0.0,0.0,0.0,0.0,0.0
übertreibung,1,0.0,0.0,1.0,0.0,0.0,0.0
hetze,1,0.0,0.0,0.0,0.0,0.0,1.0
schwachsinns,1,1.0,0.0,0.0,0.0,0.0,0.0
sternchentanten,1,0.0,0.0,0.0,1.0,0.0,0.0
sprachpolizei,1,1.0,0.0,0.0,0.0,0.0,0.0
spinner,1,1.0,0.0,0.0,0.0,0.0,0.0
sinn,1,0.0,0.0,0.0,0.0,1.0,0.0
sensitive,1,0.0,0.0,0.0,0.0,1.0,0.0
sensible,1,1.0,0.0,0.0,0.0,0.0,0.0
schwurbelei,1,0.0,1.0,0.0,0.0,0.0,0.0
schwachsinn,1,1.0,0.0,0.0,0.0,0.0,0.0
stotter,1,1.0,0.0,0.0,0.0,0.0,0.0
schirmbeck,1,0.0,0.0,0.0,1.0,0.0,0.0
rollen,1,1.0,0.0,0.0,0.0,0.0,0.0
roles,1,0.0,0.0,0.0,0.0,0.0,1.0
reveal,1,1.0,0.0,0.0,0.0,0.0,0.0
recognition,1,0.0,0.0,0.0,0.0,0.0,1.0
rechtschreibung,1,0.0,0.0,0.0,0.0,0.0,1.0
quiz,1,0.0,0.0,0.0,1.0,0.0,0.0
sternneindanke,1,0.0,1.0,0.0,0.0,0.0,0.0
studien,1,1.0,0.0,0.0,0.0,0.0,0.0
pricing,1,0.0,1.0,0.0,0.0,0.0,0.0
verblendet,1,0.0,0.0,0.0,0.0,0.0,1.0
zur,1,0.0,0.0,1.0,0.0,0.0,0.0
zu,1,1.0,0.0,0.0,0.0,0.0,0.0
wissenschaft,1,0.0,0.0,1.0,0.0,0.0,0.0
weg,1,1.0,0.0,0.0,0.0,0.0,0.0
wage,1,0.0,0.0,0.0,0.0,1.0,0.0
vorwurf,1,0.0,0.0,0.0,0.0,1.0,0.0
verteilung,1,0.0,0.0,0.0,1.0,0.0,0.0
unterstrich,1,0.0,1.0,0.0,0.0,0.0,0.0
swap,1,1.0,0.0,0.0,0.0,0.0,0.0
universum,1,1.0,0.0,0.0,0.0,0.0,0.0
totalitäre,1,1.0,0.0,0.0,0.0,0.0,0.0
toiletten,1,1.0,0.0,0.0,0.0,0.0,0.0
thing,1,0.0,0.0,1.0,0.0,0.0,0.0
theorie,1,1.0,0.0,0.0,0.0,0.0,0.0
themen,1,0.0,0.0,0.0,0.0,0.0,1.0
swapmalanders,1,0.0,0.0,0.0,0.0,1.0,0.0
projekt,1,1.0,0.0,0.0,0.0,0.0,0.0
politische,1,1.0,0.0,0.0,0.0,0.0,0.0
identity,1,0.0,0.0,0.0,0.0,0.0,1.0
ista,1,1.0,0.0,0.0,0.0,0.0,0.0
leadershipgap,1,0.0,0.0,0.0,1.0,0.0,0.0
kunstsprache,1,0.0,1.0,0.0,0.0,0.0,0.0
kram,1,0.0,1.0,0.0,0.0,0.0,0.0
ökonomie,1,0.0,0.0,0.0,1.0,0.0,0.0
kacke,1,0.0,0.0,0.0,0.0,1.0,0.0
justice,1,0.0,0.0,0.0,1.0,0.0,0.0
ixis,1,1.0,0.0,0.0,0.0,0.0,0.0
issues,1,0.0,0.0,0.0,0.0,0.0,1.0
marketings,1,0.0,0.0,0.0,0.0,1.0,0.0
ism,1,1.0,0.0,0.0,0.0,0.0,0.0
irrsinn,1,0.0,1.0,0.0,0.0,0.0,0.0
innen,1,1.0,0.0,0.0,0.0,0.0,0.0
ing,1,0.0,1.0,0.0,0.0,0.0,0.0
inequality,1,0.0,0.0,0.0,1.0,0.0,0.0
ideologen,1,1.0,0.0,0.0,0.0,0.0,0.0
identität,1,0.0,0.0,0.0,0.0,0.0,1.0
macht,1,0.0,1.0,0.0,0.0,0.0,0.0
medizin,1,0.0,0.0,0.0,0.0,1.0,0.0
politisch,1,0.0,0.0,1.0,0.0,0.0,0.0
non,1,0.0,1.0,0.0,0.0,0.0,0.0
politik,1,1.0,0.0,0.0,0.0,0.0,0.0
policy,1,0.0,0.0,0.0,0.0,0.0,1.0
perspektive,1,0.0,0.0,0.0,1.0,0.0,0.0
per,1,0.0,1.0,0.0,0.0,0.0,0.0
paygaps,1,0.0,0.0,0.0,0.0,1.0,0.0
pause,1,1.0,0.0,0.0,0.0,0.0,0.0
oscargap,1,0.0,0.0,0.0,0.0,1.0,0.0
noch,1,1.0,0.0,0.0,0.0,0.0,0.0
mich,1,1.0,0.0,0.0,0.0,0.0,0.0
nicht,1,1.0,0.0,0.0,0.0,0.0,0.0
neutrallaws,1,0.0,0.0,0.0,1.0,0.0,0.0
neutrales,1,1.0,0.0,0.0,0.0,0.0,0.0
nachtigäll,1,1.0,0.0,0.0,0.0,0.0,0.0
muss,1,0.0,0.0,0.0,0.0,0.0,1.0
monitoring,1,0.0,0.0,0.0,0.0,1.0,0.0
ministerin,1,1.0,0.0,0.0,0.0,0.0,0.0
klos,1,1.0,0.0,0.0,0.0,0.0,0.0
