hashtag,GRUENE,LINKE,CDUCSU,SPD,AFD,FDP
#eindiverspackung,0,0,0,0,1,0
#einmannpackung,0,0,0,0,1,0
#ekd,0,0,0,0,1,0
#emanuelcleaver,0,0,0,0,1,0
#entgelttransparenzgesetz,1,1,0,0,0,0
#epa,0,0,0,0,1,0
#equalpay,3,1,0,0,0,0
#equalpayday,6,2,2,2,0,0
#europe,0,0,0,1,0,0
#eusocialsummit21,0,0,0,1,0,0
#evangelisch,0,0,0,0,1,0
#familie,0,0,0,0,2,0
#faz,0,0,1,0,1,0
#feminism,0,0,0,1,0,0
#feminismus,0,1,0,0,1,0
#flutkatastrophe,0,0,0,0,1,0
#frankreich,0,0,0,0,1,0
#frauen,1,1,0,1,0,0
#frauenkampftag,0,2,0,0,0,0
#frauenmärz,1,0,0,0,0,0
#frauenquote,0,0,0,1,1,0
#frauenrechte,0,1,0,0,0,0
#frauentag2021,0,1,0,0,0,0
#frauinnen,0,0,0,0,1,0
#fraupräsident,0,0,0,0,1,0
#gegendemo,0,0,0,0,1,0
#gender,2,2,2,4,16,0
#genderal,0,0,0,0,1,0
#gendercaregap,0,0,1,0,0,0
#genderdiversenquote,0,0,0,0,1,0
#genderdoppelpunkt,0,0,0,0,1,0
#gendereconimics,1,0,0,0,0,0
#genderequality,0,0,0,2,0,0
#genderfanatiker,0,0,0,0,1,0
#gendergaga,2,3,6,4,22,1
#gendergerechte,0,0,0,0,1,0
#genderirrsinn,0,0,1,0,0,0
#genderklo,0,0,0,0,1,0
#genderkunstsprache,0,0,1,0,0,0
#gendern,15,5,18,3,9,4
#gendernneindanke,0,0,1,0,0,0
#genderpaygap,7,7,2,3,0,1
#genderquatsch,0,0,0,0,2,0
#gendersprache,2,0,6,0,2,0
#gendersprech,0,0,1,0,0,0
#genderstar,1,0,0,0,0,0
#genderstern,1,0,3,0,0,0
#gendersternchen,1,2,1,0,1,0
#gendersternneindanke,0,0,1,0,0,0
#genderstotter,0,0,0,0,1,0
#genderstudies,0,1,0,0,0,0
#genderverbot,1,5,0,0,0,0
#genderwahn,0,0,2,0,2,0
#genderwahnsinn,0,0,0,0,1,0
#genderzwang,0,0,1,0,0,0
#generischesmaskulinum,0,0,0,0,1,0
#gera,0,0,0,0,4,0
#geradejetzt,0,0,0,2,0,0
#gerechtigkeit,0,0,0,1,0,0
#geschlechtergerechtigkeit,0,2,0,1,0,0
#geschlechtergerechtigtkeit,1,0,0,0,0,0
#gesetze,0,0,1,0,0,0
#gewaltenteilung,0,0,0,0,1,0
#gez,0,0,0,0,1,0
#gezabschaffen,0,0,0,0,1,0
#giffey,0,0,0,0,1,0
#gleichberechtigung,0,1,0,0,0,0
#greiz,0,0,0,0,4,0
#grueneverhindern,0,0,0,1,1,0
#grün,0,0,0,0,1,0
#grüne,0,0,2,1,0,1
#grünen,0,0,5,1,1,0
#grünesbundestagswahlprogramm,0,0,0,0,1,0
#grüninnen,0,0,0,0,2,0
#göre,0,0,0,0,1,0
#hamburghasstgesunde,0,0,0,0,1,0
#handel,0,1,0,0,0,0
#harbarth,0,0,0,0,1,0
#haseloff,0,1,0,0,0,0
#hoschule,0,1,0,0,0,0
#hpbaxxter,0,1,0,0,0,0
#hyperhyper,0,1,0,0,0,0
#idahobit,0,0,0,1,0,0
#idahobit2021,0,0,0,1,0,0
#ideologie,0,0,0,0,1,0
#indymedia,0,0,0,0,1,0
#internationalwomensday,0,0,0,2,0,0
#irak,0,0,0,0,1,0
#irfsummit2021,0,0,0,0,1,0
#irre,0,0,0,0,1,0
#irrergehtnichtmehr,0,0,0,0,1,0
#iwd,0,0,0,1,0,0
#iwd2021,0,0,0,1,0,0
#jarasch,0,0,0,0,1,0
#jesus,0,0,0,0,1,0
#ju,0,0,0,1,0,0
#jusos,0,0,1,0,0,0
#kabulaiport,0,0,0,0,1,0
#kannweg,0,0,0,0,1,0
#kanzlerkandidatin,0,0,0,1,0,0
#kassel,0,0,0,0,0,1
#kebekus,1,0,0,0,0,0
#keingenderzwang,0,0,4,0,0,0
#kind,0,0,0,0,1,0
#kinderinnen,0,0,0,0,1,0
#kindern,0,0,0,0,1,0
#kirche,0,0,0,0,1,0
#kita,0,1,0,0,0,0
#klartext,0,0,0,1,0,0
#klimakrise,1,0,0,0,0,0
#klimaunsinn,0,0,0,0,1,0
#klimawahn,0,0,0,0,1,0
#kulturkampf,0,0,0,1,0,0
#kühnert,0,1,0,0,0,0
#lgbti,0,0,0,0,1,0
#lieferkettengesetz,0,1,0,0,0,0
#linke,0,0,1,0,0,0
#linkebpt,0,1,0,0,0,0
#links,0,0,0,0,1,0
#loblied,0,0,0,0,1,0
#lockdown,0,0,0,0,3,0
#lockdownverlaengerung,0,1,0,0,0,0
#lohnarmut,0,1,0,0,0,0
#ltwlsa,0,0,0,0,1,0
#ltwsa,0,1,0,0,0,0
#ltwsa21,0,0,0,0,1,0
#lufthansa,0,0,0,0,1,0
#mdr,0,0,0,0,1,0
#merkel,0,0,0,0,1,0
#merz,1,2,0,0,0,0
#migrationspolitik,0,1,0,0,0,0
#mikroökonomie,1,0,0,0,0,0
#mitglieder,0,0,0,0,1,0
#mobbing,0,0,0,1,0,0
#motor,0,0,0,0,1,0
#mutter,0,0,0,0,1,0
#muttersprache,0,0,2,0,1,0
#myanmar,0,0,0,0,1,0
#mädchen,0,1,0,0,0,0
#neubauer,0,0,0,0,1,0
#neustart,0,0,1,0,0,0
#niewiedercdu,0,0,0,0,1,0
#noafd,0,6,0,0,0,0
#normal,0,0,0,1,1,0
#nurdieafd,0,0,0,0,1,0
#nurnochafd,0,0,0,0,1,0
#nägelmitkoeppen,0,0,1,0,0,0
#oberbürgermeisterin,0,0,0,0,1,0
#ohne,0,0,0,0,1,0
#paytransparency,0,0,0,1,0,0
#petitionsausschuss,0,0,1,0,0,0
#pflege,0,2,0,0,0,0
#pflegenotstand,0,1,0,0,0,0
#pflegestärken,1,0,0,0,0,0
#politics,0,0,0,1,0,0
#politik,0,0,0,2,0,0
#prayer,0,0,0,0,1,0
#privatisierung,0,1,0,0,0,0
#quote,0,0,0,1,0,0
#rassismus,0,1,0,0,1,0
#realsatire,0,0,0,0,1,0
#rechtschreibrat,0,0,0,1,0,0
#regenbogen,0,0,0,1,0,0
#rentenpaygap,0,1,0,0,0,0
#respekt,0,0,1,0,0,1
#rtltriell,0,0,1,0,0,0
#ruck,0,0,0,0,1,0
#rundunfunk,0,0,0,0,1,0
#sachsen,0,0,0,0,0,1
#sachsenanhalt,0,0,0,0,1,0
#sachsenanhaltwahl,0,0,0,0,1,0
#scholz,0,0,1,0,0,0
#servicetweet,0,1,1,0,0,0
#siemens,0,0,0,0,1,0
#smk,0,0,0,0,0,1
#soeder,0,1,0,0,0,0
#solidarität,0,0,0,1,0,0
#spd,0,0,3,2,1,0
#spinner,0,0,0,0,1,0
#sprache,0,0,0,1,0,0
#sprachpolizei,1,0,0,0,0,0
#staatsfunk,0,0,0,0,3,0
#stadtentwicklung,1,0,0,0,0,0
#stern,0,0,0,1,0,0
#steueraussenzahler,0,0,0,0,1,0
#steuerinnenzahler,0,0,0,0,2,0
#syrien,0,0,0,0,1,0
#söder,0,0,0,0,1,0
#tagesschau,0,0,0,0,1,0
#taz,0,0,0,0,1,0
#tdov,0,1,0,0,0,0
#tdov2021,0,1,0,0,0,0
#teilhabe,0,0,1,0,0,0
#thierse,0,1,0,0,0,0
#thueringen,0,0,0,0,1,0
#tonne,0,0,0,0,1,0
#tradition,0,0,0,0,1,0
#transdayofvisibility,0,1,0,0,0,0
#transparenz,0,0,0,0,0,1
#triell,3,0,1,1,0,0
#twitter,0,0,1,0,0,0
#uckermark,0,0,1,0,0,0
#union,0,0,0,1,0,0
#usa,0,0,0,0,1,0
#vater,0,0,0,0,1,0
#verbotsorgien,0,0,0,0,1,0
#verbotspartei,1,0,0,0,0,0
#verbotsparteicdu,1,0,0,0,0,0
#verbotspolitik,1,0,0,0,0,0
#versprecher,0,0,0,1,0,0
#verteufelung,0,0,0,0,1,0
#vielfalt,1,0,0,1,0,0
#volkspartei,0,0,1,0,0,0
#wagenknecht,1,0,0,0,0,0
#wahlkreis,0,0,0,1,0,0
#washington,0,0,0,0,1,0
#wasistdalos,0,0,0,1,0,0
#wasserstoff,0,0,0,0,0,1
#weltfrauentag,1,2,0,1,0,0
#weltfrauentag2021,0,0,0,1,0,0
#wertschätzung,0,0,0,0,0,1
#wikigap,0,1,0,0,0,0
#wikipedia,0,1,0,0,0,0
#wirholendasdirektmandat,0,0,0,0,5,0
#wirstehenzusammen,0,0,0,0,1,0
#wirweichennicht,0,0,0,0,1,0
#wissenschaft,0,1,0,0,0,0
#wissenschaftsfeindlichkeit,0,1,0,0,0,0
#wk194,0,0,0,0,4,0
#wohlstands,0,0,0,0,1,0
#womeninscienceday,0,1,0,0,0,0
#womensday,0,0,0,2,0,0
#womensrights,0,0,0,1,0,0
#womensrightsarehumanrights,0,0,0,1,0,0
#zeitgeist,0,0,0,0,1,0
#zerodiscriminationday,0,1,0,0,0,0
#örr,0,0,3,0,0,0
