hashtag,GRUENE,FDP,SPD,CDUCSU,LINKE,AFD
antrag,4,0,0,0,1,3
antreffen,0,1,0,0,0,0
anträge,0,0,0,0,0,1
anträgen,0,0,0,0,0,1
antun,0,0,1,0,0,0
antwort,2,1,1,1,1,6
anwalt,0,0,0,0,0,2
anwenden,0,0,1,1,0,0
anwendung,0,1,0,0,0,0
anybody,0,0,0,0,1,0
anzahl,0,0,0,1,0,1
anzeige,0,0,0,0,0,1
anzeigen,0,0,0,0,0,1
anzug,0,0,0,0,1,0
aperçu,0,0,1,0,0,0
apostolin,0,0,0,0,0,1
apotheker,0,0,0,0,0,1
apparent,0,0,0,0,1,0
applaus,0,0,0,0,1,0
apple,0,0,0,0,0,1
april,0,0,0,0,1,0
apropos,0,0,0,1,0,0
arbeit,4,1,6,1,7,0
arbeiten,4,0,1,2,4,1
arbeitgeber,0,1,0,0,0,0
arbeitnehmer,0,0,1,0,0,1
arbeitnehmerinteressen,0,0,0,0,0,1
arbeitnehmerrechte,0,0,0,0,0,1
arbeitsagentur,0,0,0,0,0,1
arbeitsaufwand,0,0,0,0,1,0
arbeitsbedingungen,0,0,0,0,1,0
arbeitserfahrung,0,1,0,0,0,0
arbeitsplatz,0,0,0,0,0,1
arbeitsplätze,0,0,0,0,0,2
arbeitstag,1,0,0,0,0,0
arbeitsteilung,2,0,0,0,0,0
arbeitswelt,0,0,0,0,0,1
arbeitszeit,1,1,0,0,0,0
arbeitszeitregeln,0,1,0,0,0,0
ard,1,0,0,0,0,1
are,0,0,4,0,3,0
arendt,0,0,0,0,0,1
argued,0,0,1,0,0,0
argument,1,1,0,0,2,1
argumentation,0,0,0,0,1,0
argumentative,0,0,0,0,0,1
arkadaşlar,0,0,0,0,1,0
arm,0,0,0,0,0,7
arme,0,0,0,0,1,1
armes,0,0,0,0,0,1
armin,0,0,0,1,0,0
armut,0,0,0,0,1,2
armutsbekämpfung,0,0,0,0,1,0
armutsrisiko,0,0,0,0,1,0
armutszeugnis,0,0,0,0,0,1
arndt,0,0,0,0,0,1
around,0,0,1,0,0,0
arrangieren,0,0,0,0,0,1
arrived,0,0,1,0,0,0
art,0,0,1,0,0,2
artenverlust,1,0,0,0,0,0
artig,0,0,0,0,0,1
artikel,1,1,0,1,1,2
arzt,2,0,1,0,0,1
as,0,0,2,0,0,0
asia,0,0,0,0,0,1
aspect,2,0,0,0,0,0
aspekt,0,1,0,0,0,0
asse,0,0,0,0,0,1
asselborn,0,0,0,0,0,1
asta,0,0,0,0,0,1
astrologie,0,0,0,0,0,1
asum,0,0,0,0,0,1
asyl,0,0,0,0,0,1
asylbewerbenden,0,0,0,0,0,1
at,3,1,4,0,2,0
atempause,0,0,0,0,0,1
atom,0,0,0,0,0,1
attack,2,0,0,0,0,0
attacke,1,0,0,0,0,0
attackieren,0,0,0,0,1,0
attempt,1,0,0,0,0,0
attention,1,0,1,0,0,0
attraktiv,1,0,0,0,0,0
auch,3,1,1,0,4,4
audi,0,0,0,0,0,1
auf,0,0,0,1,0,3
aufarbeitung,0,1,0,0,0,0
aufatmen,1,0,0,0,0,1
aufaugenhöhe,0,0,0,0,1,0
aufbereiten,0,0,1,0,0,0
aufbruch,0,0,1,0,0,0
aufdruck,0,0,1,0,0,0
aufdrücken,0,0,0,1,0,0
aufeinander,0,0,0,0,0,1
auffassung,0,0,0,1,0,0
auffordern,0,0,1,0,0,0
aufgabe,2,1,0,0,0,0
aufgeben,0,0,0,0,0,1
aufgeklärt,0,0,0,0,0,1
aufgepasst,0,0,1,0,0,0
aufgreifen,0,0,1,0,0,0
aufgrund,1,0,0,1,1,1
aufhalten,1,0,0,0,0,0
aufklären,0,0,0,0,0,1
aufklärung,0,0,0,0,2,3
auflösen,0,0,0,0,0,2
auflösung,1,0,0,0,0,1
aufmerksam,0,0,1,0,0,0
aufmerksamkeit,1,0,0,0,0,0
aufoktroyieren,0,1,0,0,0,0
aufpassen,0,1,0,0,0,0
aufregen,0,0,1,0,1,1
aufruf,0,1,0,0,1,1
aufrufen,0,0,0,0,0,1
aufräumen,0,0,0,0,0,1
aufs,0,0,2,0,1,0
aufsatz,0,0,0,1,0,0
aufschlüsseln,0,0,1,0,0,0
aufschrei,0,0,0,1,0,0
aufsetzen,0,1,0,0,1,0
aufsichtsräten,0,0,1,0,0,0
aufsichtsrätinnen,0,0,1,0,0,0
aufstellen,0,0,0,0,1,0
aufstellung,0,0,0,0,0,1
auftakt,0,0,0,0,2,0
auftreten,0,1,0,0,0,0
auftritt,0,1,0,0,0,0
aufwachen,0,1,0,0,0,1
aufwerfen,0,0,0,0,1,0
aufwerten,0,0,0,0,1,0
aufzwingen,0,1,0,3,1,0
aus,0,0,3,1,0,4
ausbilden,1,0,0,0,0,0
ausbildung,0,0,1,0,0,1
ausbrechen,0,0,0,0,0,1
ausbreiten,0,0,0,0,0,1
ausdenken,0,0,0,1,0,2
ausdruck,0,0,1,1,1,2
ausdrucksstarken,0,0,0,0,0,1
ausdrücke,0,1,0,0,0,0
ausdrücken,1,2,0,0,0,1
ausdrücklich,1,0,0,1,0,0
auseinanderklafft,0,0,1,0,0,0
ausführlich,0,0,0,0,1,0
ausgeben,0,0,1,0,0,0
ausgebildet,0,0,0,0,0,1
ausgegendert,0,0,0,0,0,1
ausgesprochen,0,0,0,1,0,0
ausgewogen,0,0,0,0,1,0
ausgleich,0,0,0,1,0,1
ausgleichen,0,0,0,0,0,1
ausgrenzen,1,0,0,0,2,0
aushalten,0,1,0,1,0,0
auskundschaftende,0,0,0,0,0,1
auskunftsanspruch,0,0,0,0,1,0
auskunftsrecht,0,0,0,0,1,0
ausland,1,0,0,0,0,2
auslandjournal,0,0,0,0,0,1
auslasten,0,0,0,1,0,0
ausmachen,0,0,0,0,1,0
ausmeinerpost,0,0,1,0,0,0
ausmisten,0,0,0,0,0,2
ausnahme,0,1,0,0,0,0
ausnahmsweise,0,0,1,0,0,0
ausprägen,0,0,0,1,0,0
ausradieren,0,0,0,0,0,1
ausrichten,0,0,2,0,0,0
ausrotten,0,0,0,0,0,1
ausrufen,0,0,0,0,1,0
ausrüstung,0,3,0,0,0,3
aussage,0,0,0,1,0,2
ausschließlich,0,0,0,1,2,0
ausschuss,0,1,0,0,0,0
ausschusssitzung,1,0,0,0,0,0
aussehen,0,0,0,0,1,0
aussprechen,0,1,0,0,0,1
ausstatten,0,0,0,0,0,2
aussuchen,0,0,0,0,0,2
austauschs,0,0,0,0,0,1
auswahl,0,0,0,0,1,0
auswanderung,0,1,0,0,0,0
ausweitung,0,1,0,0,0,0
auswerten,0,1,0,0,0,0
auswertung,1,0,0,0,0,0
auswirken,0,0,0,0,0,1
auswirkung,1,0,0,0,1,0
auszeichnen,1,0,0,0,0,0
auszeichnung,1,0,0,0,0,1
ausüben,0,1,0,0,0,0
auto,0,0,0,0,2,2
autoindustrie,0,1,0,0,0,1
autokratisch,1,0,0,0,0,0
automobilhersteller,0,0,0,0,0,1
automobilindustrie,0,0,0,0,0,1
autoritär,0,1,0,0,1,0
autos,0,0,0,0,0,1
außen,1,0,0,0,0,1
außenpolitik,1,0,0,0,0,0
außerdem,1,0,0,0,0,0
außergewöhnlich,1,0,0,0,0,0
außerhalb,1,0,0,0,0,0
avangardistin,0,0,0,0,1,0
award,1,0,0,0,0,0
babos,0,0,1,0,0,0
bachelor,0,0,0,0,0,1
back,0,2,0,0,0,0
backstube,0,1,0,0,0,0
baden,0,0,2,0,0,0
bader,1,0,0,0,0,0
baer,0,0,0,0,0,2
baerbock,1,1,0,1,0,7
baerbockin,0,0,0,0,0,1
baerbocklügt,0,0,0,0,0,1
baerbocks,0,0,0,1,0,0
bafög,3,0,0,0,1,0
bag,0,0,1,0,0,0
bagatellisieren,0,0,0,0,0,1
bahnhof,1,0,0,0,0,0
balance,0,0,0,1,2,0
bald,0,0,0,0,0,3
bali,1,0,0,0,0,0
balla,0,0,0,0,0,2
banal,0,0,0,0,0,1
band,0,0,0,0,1,0
bans,0,0,1,0,0,0
bar,0,0,0,0,0,1
barbar,0,0,0,0,0,1
barbara,1,0,0,0,0,0
barcamp,1,0,0,0,0,0
barley,0,0,0,1,0,0
barnim,0,0,0,1,0,0
bartträgerinnen,0,0,0,0,0,1
based,0,0,8,0,3,0
basis,0,1,2,1,1,0
basisdemokratisch,0,0,0,0,0,1
basteln,0,0,0,0,0,1
bastian,0,0,0,0,1,0
battles,0,0,1,0,0,0
bau,1,0,0,0,0,0
bauen,0,0,0,0,0,2
baukran,0,0,0,0,0,1
baut,0,0,0,1,0,0
bawü,1,0,0,0,0,0
bay,1,0,0,0,0,0
bayer,0,0,0,0,0,2
bayern,0,0,2,0,1,0
bayertrend,0,0,0,0,0,1
bbc,1,0,0,0,0,0
be,1,0,2,0,0,0
beachvolleyball,1,0,0,0,0,0
beamte,0,1,0,0,0,0
beantworten,2,0,0,0,0,1
beantwortung,0,0,0,0,0,1
bearbeitung,0,1,0,0,0,0
beauftragte,0,0,0,0,0,2
beauftragter,1,0,0,0,0,0
beblo,1,0,0,0,0,0
because,1,0,1,0,0,0
bedarf,0,0,0,1,1,0
bedauerlich,0,0,0,1,0,0
bedauernswert,0,0,1,0,0,0
bedeuten,0,0,0,0,2,1
bedeutung,2,0,0,0,0,0
bedfordstrohm,0,0,0,0,0,1
bedingung,1,0,0,0,0,0
bedrohung,0,1,1,0,0,0
bedürfnis,1,0,0,0,1,0
beeinflussung,0,0,0,1,0,0
beeinträchtigung,0,0,0,0,0,1
beenden,1,0,0,0,1,1
beer,0,3,0,0,0,0
befangenheit,0,0,0,0,0,1
befassen,0,0,0,0,0,1
befasst,1,0,0,0,0,0
befinden,0,0,1,0,1,0
beflügeln,0,0,1,0,0,0
before,0,0,1,0,0,0
befreien,0,0,0,2,0,1
befriedet,0,0,0,0,0,1
befunden,0,0,0,1,0,0
befördern,0,0,0,1,0,0
befürworten,1,0,0,0,0,0
begeistern,0,1,0,0,0,0
begeisterung,1,0,0,0,0,0
beginnen,3,1,1,0,0,1
begreifen,0,1,0,1,1,2
begrenzt,0,0,1,0,0,0
begrenzung,0,0,0,1,0,0
begriff,0,0,0,0,1,0
begriffsstutzigkeit,0,0,1,0,0,0
begründung,1,0,0,0,0,0
begrüßen,0,1,0,0,0,0
begrüßung,0,0,0,0,0,2
begutachten,1,0,0,0,1,0
behalten,0,0,0,1,0,0
behandeln,0,0,0,0,0,1
behaupten,0,0,0,4,1,0
beherrschen,0,0,0,0,0,4
behäbig,0,0,0,0,1,0
behörde,0,0,0,2,0,4
behördenchaos,0,0,0,0,0,1
bei,0,1,0,2,3,6
beichtstuhl,0,1,0,0,0,0
beigefügt,0,0,0,1,0,0
beim,1,0,2,0,0,2
beirat,0,1,0,0,0,0
beiseite,0,0,0,0,1,0
beispiel,1,0,1,3,6,4
beispielsatz,0,1,0,0,0,0
beispielsweise,0,0,0,0,1,0
beitrag,1,1,1,2,0,1
beitragen,0,1,0,0,0,0
beitragsjahren,1,0,0,0,0,0
beitragszahler,0,0,0,1,0,0
bekenntnis,0,0,1,0,0,0
beklatschen,0,0,0,0,0,1
bekloppt,0,0,0,1,0,2
bekloppten,0,0,0,0,0,1
bekommen,1,1,0,0,3,2
bekämpfen,1,0,0,0,1,2
bekämpfung,1,0,0,0,1,0
belanglosigkeit,0,0,0,0,0,1
belarus,0,0,1,0,0,0
belegen,0,0,0,0,1,1
belehren,0,0,0,0,1,1
beleidigen,0,0,0,2,0,0
belieben,0,0,0,0,0,1
belächeln,0,0,1,0,0,2
belästigen,0,0,0,0,0,1
bemerkbar,0,0,0,0,1,0
bemerken,1,0,0,0,0,0
bemerkenswert,0,0,0,0,0,1
bemühen,0,1,0,0,0,0
benachteiligen,0,0,2,0,3,0
benachteiligung,0,0,0,0,3,0
bender,0,0,0,0,0,1
benefitted,0,0,1,0,0,0
benennen,1,0,0,0,0,0
benoten,0,1,0,1,0,0
benutzen,1,1,1,2,1,1
benzin,0,0,0,0,0,1
beobachten,0,0,0,0,0,1
beraten,0,0,0,0,0,1
berater,0,0,0,0,0,4
beratergate,0,0,0,0,0,1
beratung,1,0,0,0,0,0
berechnung,2,0,0,0,0,0
berechtigung,0,0,0,1,0,0
bereich,1,0,1,0,1,1
bereichern,0,0,0,0,0,2
bereinigen,0,0,0,1,0,2
bereit,0,1,0,0,0,0
bereiten,1,0,0,0,0,1
bereitschaft,0,0,0,0,1,0
bergen,0,1,0,0,0,0
berichten,1,0,1,0,0,2
berichtende,0,0,0,0,0,1
berichterstattung,1,0,1,1,0,1
berlin,3,1,1,1,1,17
berlinale,0,0,0,0,1,1
berlinas,0,1,0,0,0,0
berliner,1,1,0,0,0,4
bernhard,0,0,0,0,0,2
berufe,1,0,0,0,0,0
berufen,0,2,0,0,1,3
beruflich,1,0,0,1,0,0
berufserfahrung,0,1,0,0,0,0
berufsfelder,0,0,0,0,0,1
berufsgruppe,0,0,0,0,1,0
berufsschulen,1,0,0,0,0,0
berufsverbot,0,0,0,0,0,1
berufung,0,0,0,0,0,1
berücksichtigen,0,0,1,0,0,0
berücksichtigung,0,0,0,0,1,1
bescheiden,0,0,0,0,0,1
bescheinigen,0,0,0,0,0,2
bescheuert,0,0,0,0,1,0
beschimpfen,0,0,0,0,0,1
beschimpfung,1,0,0,0,0,0
beschiß,0,0,0,0,0,1
beschleichen,0,0,0,0,1,0
beschließen,0,0,0,0,1,1
beschluss,0,0,0,0,0,1
beschluß,0,0,0,0,0,1
beschränktheit,1,0,0,0,0,0
beschweren,0,0,0,1,0,0
beschädigen,0,0,0,0,0,1
beschäftigen,1,4,0,0,0,1
beschäftigt,0,2,0,0,0,0
beschäftigte,0,0,0,0,2,0
beschäftigungsmaßnahmen,0,0,0,0,0,1
beseitigen,1,0,0,0,0,1
beseitigung,0,0,1,0,0,0
besen,0,0,0,0,0,1
besetzung,1,0,0,0,0,0
besiegeln,0,1,0,0,0,0
besinnen,0,0,0,0,0,1
besinnlich,1,0,0,0,0,0
besonder,0,0,0,0,1,1
bespitzeln,0,0,0,0,0,1
besser,1,0,0,0,0,1
bessermenschen,0,0,0,0,0,1
best,0,0,3,0,0,0
bestehen,0,0,0,1,0,1
bestellbar,0,0,0,0,0,1
bestellen,0,0,0,1,0,0
bestens,0,0,1,0,0,0
bestensee,0,0,0,0,0,1
bestimmen,2,1,1,0,0,3
bestimmt,0,0,0,0,1,1
bestrafen,0,0,1,1,0,1
bestrebungen,0,0,0,0,0,1
bestätigen,0,0,0,0,0,3
bestürzend,0,0,0,0,1,0
besuchen,0,0,0,0,0,1
besuchender,0,0,0,0,0,1
besuchergruppe,1,0,0,0,0,0
betd2019,1,0,0,0,0,0
beteiligen,0,0,0,0,1,0
betrachtung,1,0,0,0,0,0
betragen,1,0,0,0,0,0
betreffen,0,0,0,0,1,1
betreiben,0,0,0,0,1,0
betrieb,1,0,1,0,0,0
betriebene,0,0,0,0,0,1
betrieblich,0,0,0,0,1,0
betriebsgröße,0,1,0,0,0,0
betroffene,0,0,0,0,0,1
better,1,0,0,0,0,0
beurteilen,0,0,0,0,0,1
bevor,0,1,0,0,0,1
bevormunden,1,0,0,0,0,0
bevormundung,0,0,0,1,0,1
bevormundungsscheisse,1,0,0,0,0,0
bevorzugen,0,1,0,0,0,0
bevölkerung,1,1,0,8,0,3
bewaffnen,0,1,0,0,0,0
bewahren,0,0,0,0,0,1
bewegung,0,0,0,0,0,1
beweisen,0,0,1,0,1,1
